Symbol,Name,Asset Class,Assets,Avg. Daily Volume,Price,Inverse,Leveraged,Smart Beta,Currency Hedged,1 Week Returns,1 Month Returns,YTD Price Change,1 Year Returns,3 Year Returns,5 Year Returns,1 Week FF,4 Week FF,YTD FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Annual Dividend Rate,Dividend Date,Dividend, Annual Dividend Yield %, Dividend Frequency, Standard Deviation,P/E Ratio,Beta,5-Day Volatility,20-Day Volatility,50-Day Volatility,200-Day Volatility,Issuer,# of Holdings,% In Top 10,% In Top 15,% In Top 50,ST Cap Gains,LT Cap Gains,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity,Expenses,Performance,Volatility,ETF Database Pro,Dividend.1,Concentration,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),ESG Exclusion Criteria (%),Sustainable Impact Solutions (%),Type
HEGD,Swan Hedged Equity US Large Cap ETF,Equity,370835000,82146,21.45,False,False,False,False,-1.79%,-2.46%,-4.24%,7.74%,5.89%,nan,5.617664,16.077442,47.555368,118.177099,159.077856,343.776283,nan,2020-12-22,0.88%,0.10,2024-12-27,0.10,0.44%,Annually,0.82%,0.03,0.5,34.48%,14.85%,11.63%,10.04%,Swan Global Investments,4,100.00%,100.00%,100.00%,40%,20%,1099,21.24,22.30,21.39,21.52,39.75,A-,C+,B+,B+,B,B-,nan,6.41,69.43%,47.98%,94.04,10.89%,6.27%,Equity
FNOV,FT Vest U.S. Equity Buffer ETF - November,Equity,780715000,64303,44.01,False,False,False,False,-3.16%,-6.42%,-7.97%,0.87%,5.40%,8.92%,-1.117425,-60.83225,-69.13415,189.228425,374.868425,611.727825,Volatility Hedged Equity,2019-11-15,0.85%,0.00,nan,nan,0.00%,Annually,1.37%,0.05,0.64,88.88%,33.89%,23.35%,17.69%,First Trust Advisors LP,1,0.00%,0.00%,0.00%,40%,20%,1099,42.80,48.26,43.64,44.47,39.37,B+,C,A-,A-,B+,nan,nan,,nan,nan,nan,nan,nan,Equity
VFQY,Vanguard U.S. Quality Factor ETF,Equity,350641000,14692,122.98,False,False,True,False,-3.16%,-8.80%,-12.43%,-2.89%,3.44%,14.16%,-3.11325,0.7242,-27.65805,36.2081,137.14285,281.2927,All Cap Equities,2018-02-13,0.13%,1.93,2025-03-25,0.44,1.48%,Quarterly,6.31%,12.1,1.08,155.86%,47.58%,32.57%,24.92%,Vanguard,404,15.06%,21.51%,47.84%,40%,20%,1099,117.39,140.07,121.70,124.49,39.19,B,A,A-,B+,A-,B,nan,6.6,68.44%,56.06%,44.94,2.62%,5.02%,Equity
SPVU,Invesco S&P 500® Enhanced Value ETF,Equity,93800700,9314,47.20,False,False,False,False,-1.72%,-8.28%,-3.41%,1.14%,3.70%,16.49%,0.0,5.79415,2.47417,-17.27555,-86.09028,-22.95771,Large Cap Value Equities,2015-10-09,0.13%,1.36,2025-03-24,0.35,2.79%,Quarterly,1.95%,8.21,1.14,113.83%,38.89%,27.36%,21.36%,Invesco,98,40.35%,52.10%,84.60%,40%,20%,1099,44.84,53.54,46.72,47.76,41.27,B-,A,A,C+,A-,B+,B,6.23,14.32%,41.68%,120.69,9.62%,1.85%,Equity
IVAL,Alpha Architect International Quantitative Value ETF,Equity,131840000,20403,25.52,False,False,True,False,2.12%,-2.67%,6.51%,2.56%,4.65%,8.65%,0.0,-0.063,-7.536,-18.6025,-9.88625,46.22025,Global Equities,2014-12-17,0.39%,0.78,2025-03-13,0.07,2.99%,Quarterly,0.72%,0.21,0.97,105.04%,37.39%,25.60%,20.48%,ETF Architect,52,22.01%,32.53%,98.43%,40%,20%,1099,23.17,26.89,25.35,25.68,53.9,B+,A-,C+,B,B+,A,B,6.66,2.26%,58.07%,353.01,16.73%,5.79%,Equity
LSAT,Leadershares Alphafactor Tactical Focused ETF,Equity,97026000,10916,36.83,False,False,True,False,-1.61%,-7.30%,-8.39%,2.26%,2.73%,nan,0.0,-4.916,-65.25,-51.0815,-72.734,55.032975,All Cap Equities,2020-10-27,0.99%,0.52,2024-12-20,0.53,1.39%,Annually,1.78%,0.12,0.72,92.27%,43.17%,30.37%,22.88%,Redwood,32,34.13%,50.19%,100.01%,40%,20%,1099,34.97,41.59,36.56,37.16,41.72,A-,C,nan,B-,B,A-,nan,5.85,44.19%,33.04%,149.81,6.08%,2.23%,Equity
PSCI,Invesco S&P SmallCap Industrials ETF,Equity,111025000,15500,108.94,False,False,False,False,-3.92%,-10.95%,-18.80%,-7.93%,6.76%,18.68%,0.0,-55.44208,-63.9459,-50.895,19.55296,36.52095,Industrials Equities,2010-04-07,0.29%,0.88,2025-03-24,0.19,0.76%,Quarterly,9.20%,11.97,1.24,138.73%,51.29%,36.44%,28.72%,Invesco,98,22.85%,32.60%,77.24%,40%,20%,1099,103.67,126.69,108.03,109.59,37.38,C+,A,A-,B-,B,B-,B+,6.7,65.24%,59.99%,127.3,8.80%,5.04%,Equity
FLCH,Franklin FTSE China ETF,Equity,162524000,85798,19.35,False,False,False,False,-2.19%,-12.68%,5.15%,27.31%,2.00%,-1.50%,0.0,0.0,4.292,25.494,56.468,147.468,China Equities,2017-11-02,0.19%,0.53,2024-12-20,0.41,2.61%,Semi-Annually,1.96%,10.87,0.5,132.04%,46.98%,38.90%,33.59%,Franklin Templeton,954,45.58%,51.72%,67.32%,40%,20%,1099,17.65,22.71,19.21,19.47,42.95,B,A+,A-,B+,A-,B-,nan,5.4,75.69%,26.39%,206.69,2.32%,5.16%,Equity
CVY,Invesco Zacks Multi-Asset Income ETF,Equity,103839000,5437,23.38,False,False,False,False,-0.15%,-8.55%,-6.29%,-1.59%,3.49%,14.46%,0.0,0.0,-1.04008,-2.01719,-13.32883,-70.77859,All Cap Equities,2006-09-21,1.12%,1.02,2025-03-24,0.22,4.18%,Quarterly,0.80%,0.07,1.1,131.87%,41.67%,28.47%,21.97%,Invesco,152,11.80%,17.34%,51.42%,40%,20%,1099,21.73,26.65,23.14,23.66,41.34,B,C,C,B+,B,A,B+,5.89,47.03%,34.24%,175.26,0.26%,2.77%,Equity
EDOW,First Trust Dow 30 Equal Weight ETF,Equity,210092000,56706,33.14,False,False,True,False,-4.32%,-8.80%,-8.30%,2.49%,3.77%,10.73%,1.65485,-18.84615,-0.34785,-25.05805,52.3938,139.850833,Large Cap Blend Equities,2017-08-08,0.50%,0.59,2025-03-27,0.14,1.73%,Quarterly,1.71%,18.24,0.91,116.23%,39.66%,27.38%,20.78%,First Trust,31,36.19%,53.19%,100.00%,40%,20%,1099,31.95,37.59,32.82,33.43,37.93,B+,B,B,B+,B+,B,nan,6.8,83.34%,64.64%,28.48,19.65%,3.89%,Equity
BNKU,MicroSectors U.S. Big Banks 3 Leveraged ETN,Equity,5481700,nan,10.96,False,3x,True,False,-4.73%,-34.21%,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,Leveraged Equities,2025-02-19,2.60%,0.00,nan,nan,0.00%,Annually,nan,0.08,3.45,85.90%,175.73%,nan,nan,BMO Financial Group,9,90.20%,90.20%,90.20%,40%,20%,1099,7.63,19.29,10.60,11.31,34.75,B+,A-,nan,B-,B+,C+,nan,,nan,nan,nan,nan,nan,Equity
ISMD,Inspire Small/Mid Cap ETF,Equity,159530000,28311,30.83,False,False,True,False,-1.25%,-11.61%,-17.52%,-6.48%,-1.20%,12.82%,0.0,0.0975,-9.269,5.892,43.3885,64.085,Small Cap Blend Equities,2017-02-28,0.48%,0.47,2025-03-27,0.13,1.48%,Quarterly,2.14%,110.85,1.13,165.34%,40.78%,29.11%,23.99%,Inspire Impact Group LLC,497,3.22%,4.42%,12.31%,40%,20%,1099,28.90,36.09,30.58,31.06,35.59,B+,B-,B+,B-,B,B-,nan,5.59,22.20%,29.01%,115.44,1.60%,8.63%,Equity
FAZ,Direxion Daily Financial Bear 3X Shares,Equity,101053000,29634514,6.73,True,-3x,False,False,10.33%,16.73%,7.57%,-36.72%,-26.94%,-49.39%,-8.95875,1.47035,2.92395,16.66885,106.08375,391.119784,Inverse Equities,2008-11-06,1.04%,0.39,2025-03-25,0.10,6.70%,Quarterly,1.83%,,-2.64,329.15%,138.46%,97.49%,75.91%,Rafferty Asset Management,1,100.00%,100.00%,100.00%,40%,20%,1099,4.84,7.69,6.42,6.99,55.41,A-,C+,A-,B,A-,A,B,5.5,48.28%,27.70%,1.57,0.00%,0.00%,Equity
GVAL,Cambria Global Value ETF,Equity,170979000,95424,24.55,False,False,True,False,1.57%,-0.97%,17.69%,21.50%,9.96%,14.00%,0.0,46.96044,61.93711,53.388765,48.275225,33.467225,Global Equities,2014-03-12,0.64%,0.97,2024-06-21,0.97,3.81%,Quarterly,1.24%,5.22,0.94,144.26%,40.18%,42.21%,31.21%,Cambria Investment Management LP,107,20.97%,26.92%,60.87%,40%,20%,1099,22.58,25.91,24.24,24.90,54.43,B+,B-,C,A-,A-,A,A,6.87,6.07%,67.30%,244.91,8.24%,4.62%,Equity
DVOL,First Trust Dorsey Wright Momentum & Low Volatility ETF,Equity,60258700,9417,33.50,False,False,True,False,-2.63%,-4.18%,-0.89%,15.56%,5.72%,12.69%,0.0,4.9275,4.9275,7.21655,-50.929486,-84.381776,Volatility Hedged Equity,2018-09-05,0.60%,0.26,2025-03-27,0.09,0.76%,Quarterly,2.20%,19.48,0.8,40.59%,38.16%,27.02%,21.07%,First Trust,51,28.55%,42.04%,99.95%,40%,20%,1099,32.34,36.52,33.02,34.13,44.22,A-,C,B,B+,C+,C+,nan,6.5,56.01%,51.93%,229.12,2.99%,1.44%,Equity
FDMO,Fidelity Momentum Factor ETF,Equity,388754000,137800,60.19,False,False,True,False,-5.11%,-8.58%,-13.41%,7.88%,7.41%,13.45%,-0.089472,-70.816743,83.405978,229.13204,269.378191,267.616181,Large Cap Growth Equities,2016-09-12,0.16%,0.63,2025-03-21,0.10,0.99%,Quarterly,4.56%,20.19,0.96,129.92%,53.39%,39.07%,30.57%,Fidelity,130,37.74%,45.32%,74.37%,40%,20%,1099,57.77,68.91,59.34,61.23,40.15,B-,B,C+,B-,B-,B-,B-,6.12,10.21%,38.84%,105.8,12.03%,9.17%,Equity
HUSV,First Trust Horizon Managed Volatility Domestic ETF,Equity,91058500,14660,37.91,False,False,False,False,-2.74%,-4.11%,1.74%,11.90%,3.51%,11.45%,0.0,-5.5422,-3.51625,-1.4856,-46.852035,-170.699975,Volatility Hedged Equity,2016-08-24,0.70%,0.48,2025-03-27,0.12,1.25%,Quarterly,1.77%,22.05,0.77,60.25%,30.72%,21.49%,16.76%,First Trust,76,23.61%,33.15%,81.73%,40%,20%,1099,36.73,40.99,37.47,38.44,44.07,B+,C,A-,B+,B-,C+,nan,6.8,82.96%,64.32%,377.57,14.96%,2.78%,Equity
DALI,First Trust Dorsey Wright DALI Equity ETF,Equity,94345800,6705,22.24,False,False,True,False,-2.67%,-9.00%,-13.79%,0.62%,-6.14%,6.87%,0.0,0.0,1.2293,-12.9564,-20.84724,86.586514,All Cap Equities,2018-05-14,1.07%,0.06,2025-03-27,0.01,0.24%,Quarterly,1.47%,0.04,0.75,179.20%,48.66%,35.40%,27.85%,First Trust,8,99.99%,99.99%,99.99%,40%,20%,1099,21.00,25.40,22.08,22.32,39.62,B+,C,C+,C+,C+,B,nan,6.03,29.94%,36.88%,67.49,6.65%,3.81%,Equity
LSAF,LeaderShares AlphaFactor US Core Equity ETF,Equity,127204000,11329,36.68,False,False,True,False,-3.06%,-7.46%,-9.48%,1.09%,4.03%,12.90%,0.0,-2.33725,-52.17375,-19.1175,-38.376,-0.68125,All Cap Equities,2018-10-02,0.75%,0.17,2024-12-20,0.17,0.45%,Annually,2.16%,0.04,1.08,139.90%,45.95%,32.10%,24.64%,Redwood,101,10.93%,16.26%,51.92%,40%,20%,1099,35.10,41.32,36.30,37.13,40.92,B,C+,B,B,C+,C+,nan,6.34,74.34%,45.33%,137.46,9.03%,7.48%,Equity
MFEM,PIMCO RAFI Dynamic Multi-Factor Emerging Markets Equity ETF,Equity,95795200,17557,18.39,False,False,True,False,0.01%,-4.87%,-2.54%,2.51%,1.82%,9.44%,0.0,0.0,0.0,4.126,22.85,-663.068,Emerging Markets Equities,2017-08-31,0.50%,1.13,2025-04-01,0.15,5.97%,Quarterly,0.58%,7.47,0.78,82.08%,33.49%,23.71%,18.61%,Allianz Investment Management LLC,737,11.67%,15.88%,34.24%,40%,20%,1099,17.10,19.83,18.29,18.48,47.06,B,B,nan,A-,B,C+,nan,5.18,1.72%,23.47%,632.31,4.33%,4.55%,Equity
QABA,First Trust NASDAQ ABA Community Bank Index Fund,Equity,96122100,67135,48.10,False,False,False,False,2.53%,-8.39%,-12.93%,11.49%,-2.11%,11.06%,0.0,-0.26665,-8.74905,29.437,18.46255,22.9997,Financials Equities,2009-06-29,0.60%,1.35,2025-03-27,0.31,2.66%,Quarterly,5.35%,12.01,0.92,98.70%,44.13%,32.16%,28.09%,First Trust,152,28.24%,36.51%,72.08%,40%,20%,1099,44.01,54.94,47.84,48.25,40.28,B,B-,B-,A-,B,A-,A-,4.15,0.84%,5.38%,5.56,0.00%,4.50%,Equity
SRTY,ProShares UltraPro Short Russell2000,Equity,90680000,4097609,29.16,True,-3x,False,False,6.46%,27.66%,56.74%,-4.14%,-12.34%,-43.26%,1.45898,-12.839525,-17.55316,-38.15507,-34.25465,324.490651,Inverse Equities,2010-02-11,0.95%,1.62,2025-03-26,0.22,6.31%,Quarterly,4.27%,,-3.07,346.73%,148.04%,104.07%,82.88%,Proshare Advisors LLC,5,100.00%,100.00%,100.00%,40%,20%,1099,20.06,34.05,28.14,30.09,57.47,A-,A,A,B-,A,A-,B+,,nan,nan,nan,nan,nan,Equity
NUEM,Nuveen ESG Emerging Markets Equity ETF,Equity,290307000,51576,28.04,False,False,True,False,-0.74%,-7.03%,-3.38%,7.41%,0.95%,6.90%,0.0,-8.000314,15.352078,29.686826,115.539126,255.050696,Emerging Markets Equities,2017-06-06,0.36%,0.57,2024-12-18,0.57,1.95%,Annually,1.16%,12.0,0.73,98.80%,34.26%,26.59%,21.41%,TIAA Board of Governors,187,26.63%,33.91%,69.42%,40%,20%,1099,26.34,30.66,27.85,28.34,44.63,B+,A-,nan,B-,B,C,nan,7.16,98.05%,78.96%,135.13,0.86%,5.97%,Equity
PIN,Invesco India ETF,Equity,225842000,62017,25.73,False,False,False,False,3.96%,4.21%,-0.16%,13.88%,11.12%,20.49%,0.0,-9.57106,-9.57106,6.61161,115.26934,96.47342,Asia Pacific Equities,2008-03-05,0.78%,4.37,2024-12-23,4.37,16.90%,Quarterly,0.86%,23.4,0.71,54.05%,25.85%,20.44%,21.87%,Invesco,213,37.68%,45.41%,70.36%,40%,20%,1099,23.71,25.88,25.62,25.84,60.92,B,C,C+,B-,B-,A+,B-,5.39,44.85%,26.18%,654.43,5.29%,5.42%,Equity
BAPR,Innovator U.S. Equity Buffer ETF - April,Equity,347576000,95854,39.97,False,False,True,False,-3.33%,-6.81%,-9.80%,3.82%,6.08%,9.02%,40.966948,151.74621,119.972743,117.848558,184.39933,196.030548,Volatility Hedged Equity,2019-04-01,0.79%,0.00,nan,nan,0.00%,Annually,1.88%,0.05,0.57,96.81%,36.25%,25.87%,19.46%,Innovator,2,100.00%,100.00%,100.00%,40%,20%,1099,38.85,44.19,39.68,40.22,38.96,B+,B-,B-,A-,B,C+,nan,,nan,nan,nan,nan,nan,Equity
AESR,Anfield U.S. Equity Sector Rotation ETF,Equity,120717000,32189,15.34,False,False,False,False,-3.16%,-7.59%,-11.25%,5.30%,5.23%,13.07%,0.0,-2.31875,0.7115,25.058,-24.971,41.41375,Large Cap Growth Equities,2019-12-16,1.18%,0.03,2024-12-12,0.03,0.18%,Quarterly,0.91%,0.05,0.96,139.23%,47.74%,34.48%,26.91%,Anfield Group,27,82.51%,89.23%,100.00%,40%,20%,1099,14.65,17.44,15.22,15.48,40.16,B-,C,nan,A-,B,B,nan,5.62,2.69%,29.42%,43.01,7.82%,1.78%,Equity
SPDN,Direxion Daily S&P 500 Bear 1x Shares,Equity,180322000,11583021,12.43,True,-1x,False,False,4.81%,8.35%,13.66%,0.73%,-1.69%,-11.26%,0.5368,-24.57105,14.71985,-10.89625,-57.44235,207.6946,Inverse Equities,2016-06-08,0.47%,0.52,2025-03-25,0.08,4.40%,Quarterly,0.49%,,-0.94,142.41%,49.14%,33.84%,25.70%,Rafferty Asset Management,1,100.00%,100.00%,100.00%,40%,20%,1099,10.99,12.88,12.28,12.58,59.88,nan,A+,nan,nan,nan,A+,nan,4.75,3.45%,18.71%,1.57,0.00%,0.00%,Equity
PFI,Invesco Dorsey Wright Financial Momentum ETF,Equity,57923800,8100,49.15,False,False,True,False,-2.79%,-7.94%,-13.56%,8.18%,1.24%,11.40%,0.0,0.16153,-8.76659,2.71963,-25.05567,27.67512,All Cap Equities,2006-10-12,0.60%,1.58,2025-03-24,0.14,3.03%,Quarterly,4.76%,15.94,0.99,177.58%,47.33%,37.71%,30.87%,Invesco,46,41.52%,52.22%,99.98%,40%,20%,1099,46.34,56.42,48.55,49.74,40.49,B-,B-,B,C+,B-,B+,B-,5.13,3.91%,22.87%,3.85,0.00%,1.65%,Equity
TPHD,Timothy Plan High Dividend Stock ETF,Equity,272580000,49079,34.57,False,False,False,False,-1.96%,-7.15%,-4.26%,1.71%,3.01%,14.10%,-5.184,34.4035,32.6155,35.4635,88.588,89.2515,All Cap Equities,2019-04-29,0.52%,0.77,2025-04-10,0.08,2.17%,Monthly,1.35%,14.3,0.94,111.93%,39.42%,27.30%,20.95%,Timothy Plan,101,14.89%,21.39%,59.47%,40%,20%,1099,32.76,38.83,34.25,34.92,42.23,A-,B,B-,A-,A-,A-,nan,6.85,79.81%,66.58%,598.7,13.23%,4.44%,Equity
IPKW,Invesco International BuyBack Achievers™ ETF,Equity,154584000,82614,42.97,False,False,True,False,1.11%,-7.16%,9.34%,15.51%,8.21%,16.23%,0.0,-25.12785,72.8446,62.66715,50.02285,27.3125,Foreign Large Cap Equities,2014-02-27,0.55%,1.75,2025-03-24,0.49,3.92%,Quarterly,2.22%,8.5,0.93,48.46%,43.98%,31.35%,24.20%,Invesco,127,48.45%,60.35%,90.96%,40%,20%,1099,38.86,48.24,42.57,43.38,47.6,A-,B-,C+,A-,B+,B,nan,7.02,10.60%,73.65%,142.94,10.64%,3.24%,Equity
FJUN,FT Vest U.S. Equity Buffer ETF - June,Equity,866406000,47875,47.32,False,False,False,False,-2.72%,-5.89%,-7.90%,3.50%,7.93%,nan,1.182,19.633225,33.661475,259.526625,625.8223,733.15795,Volatility Hedged Equity,2020-06-19,0.85%,0.00,nan,nan,0.00%,Annually,1.85%,0.03,0.54,73.59%,31.75%,22.21%,16.89%,First Trust Advisors LP,1,0.00%,0.00%,0.00%,40%,20%,1099,46.12,51.65,47.03,47.63,39.42,A-,C,A-,A-,A-,nan,nan,,nan,nan,nan,nan,nan,Equity
UMI,USCF Midstream Energy Income Fund ETF,Equity,357770000,35463,47.81,False,False,False,False,0.03%,-8.81%,-3.10%,24.78%,14.42%,nan,0.0,7.16961,-2.30635,44.02932,103.98848,227.38198,MLPs,2021-03-24,0.85%,1.96,2025-03-25,0.05,4.00%,Monthly,4.83%,,0.72,81.69%,44.11%,31.47%,27.32%,Marygold,21,66.26%,86.95%,100.01%,40%,20%,1099,44.33,54.79,47.21,48.69,43.95,A-,C+,A+,B-,A-,A,nan,7.36,83.94%,84.74%,854.8,4.36%,0.00%,Equity
HIBL,Direxion Daily S&P 500 High Beta Bull 3X Shares,Equity,34858700,199525,17.27,False,3x,True,False,-13.39%,-44.02%,-58.89%,-52.47%,-31.30%,16.30%,0.86525,14.67575,27.55935,5.88405,-27.08365,-37.840782,Leveraged Equities,2019-11-07,0.98%,0.12,2024-06-25,0.12,0.53%,Quarterly,7.34%,,4.36,430.05%,211.12%,153.02%,119.08%,Rafferty Asset Management,101,56.15%,59.76%,79.07%,40%,20%,1099,11.80,34.21,16.56,18.00,36.09,B,B-,nan,C+,B-,B,nan,6.55,64.20%,53.88%,125.56,6.16%,3.30%,Equity
UFO,Procure Space ETF,Equity,46363200,65460,20.80,False,False,False,False,-2.16%,-8.53%,-10.39%,39.59%,-3.77%,5.01%,0.0,-2.608338,3.026793,5.988023,-25.42483,51.771625,Global Equities,2019-04-11,0.94%,0.47,2025-03-27,0.01,2.15%,Annually,3.27%,0.06,1.1,202.99%,58.48%,45.51%,41.27%,ProcureAM,35,47.76%,66.78%,99.98%,40%,20%,1099,19.12,23.93,20.42,21.13,43.06,B,C+,nan,C+,B-,B+,nan,5.84,39.04%,32.79%,20.59,17.01%,0.16%,Equity
CHAU,Direxion Daily CSI 300 China A Share Bull 2x Shares,Equity,176199000,758587,13.17,False,2x,False,False,0.61%,-11.03%,-9.14%,-3.80%,-18.04%,-5.25%,-1.3066,-21.61645,-126.95315,319.5636,355.61225,292.063398,Leveraged Equities,2015-04-16,1.30%,0.34,2025-03-25,0.08,2.50%,Quarterly,1.92%,0.06,0.94,231.19%,72.61%,54.33%,53.56%,Rafferty Asset Management,2,100.00%,100.00%,100.00%,40%,20%,1099,11.40,15.40,13.07,13.26,45.26,B,C,nan,B+,B,B,B,4.89,3.98%,20.14%,242.34,2.58%,1.21%,Equity
KEMQ,KraneShares Emerging Markets Consumer Technology Index ETF,Equity,19786600,8298,17.69,False,False,False,False,-1.42%,-9.45%,6.48%,27.13%,2.19%,-2.47%,0.002966,-0.00737,3.639534,2.086843,-32.348792,30.089024,Emerging Markets Equities,2017-10-11,0.50%,0.12,2024-12-17,0.12,0.67%,Annually,1.52%,0.03,0.85,248.99%,47.76%,39.71%,32.31%,CICC,50,34.16%,49.19%,99.96%,40%,20%,1099,16.25,19.88,17.59,17.78,45.21,B+,B-,A,C,B-,C,nan,6.34,67.81%,45.05%,91.13,0.79%,4.04%,Equity
SPUS,SP Funds S&P 500 Sharia Industry Exclusions ETF,Equity,1034810000,412587,35.49,False,False,False,False,-5.49%,-10.39%,-17.18%,0.56%,6.50%,14.80%,12.70584,56.539163,244.503168,615.745075,909.156148,1019.504368,Large Cap Growth Equities,2019-12-18,0.45%,0.30,2025-03-25,0.03,0.81%,Monthly,2.33%,0.03,0.99,164.49%,52.27%,37.17%,28.82%,Tidal Financial Group,220,54.73%,61.63%,80.06%,40%,20%,1099,34.06,41.24,35.04,35.96,37.82,B,B-,nan,B-,B,B+,nan,6.48,51.87%,50.98%,50.06,8.41%,10.03%,Equity
PMAR,Innovator U.S. Equity Power Buffer ETF - March,Equity,562655000,86610,38.00,False,False,False,False,-2.59%,-5.14%,-5.45%,6.20%,5.85%,8.40%,0.96277,6.20826,70.69077,-172.362205,230.157798,393.711368,Volatility Hedged Equity,2020-03-02,0.79%,0.00,nan,nan,0.00%,Annually,1.32%,0.03,0.4,17.15%,28.88%,19.33%,14.08%,Innovator,2,100.00%,100.00%,100.00%,40%,20%,1099,37.16,41.07,37.76,38.29,39.77,B,C+,nan,A,nan,nan,nan,,nan,nan,nan,nan,nan,Equity
DBEM,Xtrackers MSCI Emerging Markets Hedged Equity ETF,Equity,66873600,8162,24.21,False,False,False,True,-1.29%,-7.71%,-2.76%,7.38%,3.14%,6.13%,0.0,0.0,0.0,-30.71385,-30.244881,-43.318081,Emerging Markets Equities,2011-06-09,0.67%,0.62,2024-12-20,0.43,2.44%,Semi-Annually,0.85%,0.09,0.6,95.56%,37.47%,27.07%,21.25%,DWS,1156,26.24%,30.58%,45.88%,40%,20%,1099,22.73,26.88,24.03,24.46,43.89,B,C+,A,B+,A-,B,A,5.96,26.27%,35.41%,295.13,2.83%,4.23%,Equity
CIL,VictoryShares International Volatility Wtd ETF,Equity,103791000,1608,45.40,False,False,True,False,1.03%,-1.09%,9.34%,14.15%,5.89%,10.99%,0.0,0.0,0.0,2.196268,-10.914322,-2.050467,Foreign Large Cap Equities,2015-08-19,0.45%,1.46,2025-04-10,0.21,3.13%,Monthly,1.50%,13.82,0.86,104.53%,34.40%,23.85%,18.63%,Victory Capital,501,4.06%,5.89%,17.44%,40%,20%,1099,41.63,47.41,45.18,45.70,54.45,B-,B,B,B-,B-,B-,nan,7.6,53.57%,90.52%,129.05,10.77%,5.28%,Equity
FSEP,FT Vest U.S. Equity Buffer ETF - September,Equity,738395000,41570,42.19,False,False,False,False,-3.09%,-6.05%,-7.67%,1.79%,6.43%,nan,1.05485,-39.058075,-26.027575,241.596275,537.8684,662.4777,Volatility Hedged Equity,2020-09-18,0.85%,0.00,nan,nan,0.00%,Annually,1.35%,0.03,0.59,45.91%,32.19%,22.08%,16.58%,First Trust Advisors LP,1,0.00%,0.00%,0.00%,40%,20%,1099,41.00,46.13,41.84,42.60,39.45,B+,C+,nan,A-,B-,C+,nan,,nan,nan,nan,nan,nan,Equity
EPHE,iShares MSCI Philippines ETF,Equity,95061000,92660,25.17,False,False,False,False,-0.08%,-2.86%,0.56%,4.14%,-4.35%,2.21%,0.0,0.0,0.06734,-18.387385,-15.023865,-6.023995,Asia Pacific Equities,2010-09-28,0.59%,0.58,2024-12-17,0.22,2.27%,Semi-Annually,1.55%,15.1,0.7,97.07%,32.23%,24.04%,21.09%,BlackRock Inc.,34,66.17%,77.88%,100.02%,40%,20%,1099,24.07,25.90,25.03,25.39,51.58,A-,B,C,C,C,C,C+,3.95,0.00%,4.45%,351.76,6.30%,7.44%,Equity
IDHQ,Invesco S&P International Developed High Quality ETF,Equity,385904000,80513,29.90,False,False,True,False,0.71%,-3.58%,6.46%,5.51%,5.04%,8.63%,0.0,23.83515,11.4528,113.51305,240.0499,313.3375,Foreign Large Cap Equities,2007-06-13,0.29%,0.72,2025-03-24,0.26,2.38%,Quarterly,0.91%,11.96,0.88,114.79%,37.85%,26.77%,20.95%,Invesco,195,34.00%,42.59%,75.65%,40%,20%,1099,27.68,31.49,29.68,30.11,50.54,B+,A-,A,A-,A-,C+,A-,7.91,85.48%,96.13%,74.13,9.86%,8.39%,Equity
VFMF,Vanguard U.S. Multifactor ETF,Equity,306685000,17714,115.89,False,False,True,False,-2.18%,-8.70%,-10.84%,-1.23%,5.27%,16.23%,0.5871,-4.31805,19.19295,59.27365,130.72485,194.84855,All Cap Equities,2018-02-13,0.18%,2.28,2025-03-25,0.60,1.86%,Quarterly,6.27%,10.0,1.04,156.32%,46.40%,32.29%,24.96%,Vanguard,558,10.05%,14.05%,32.65%,40%,20%,1099,109.80,132.33,114.59,117.34,39.67,B,A-,B-,B,B+,B+,nan,6.02,7.27%,36.63%,74.56,5.92%,5.38%,Equity
PEZ,Invesco Dorsey Wright Consumer Cyclicals Momentum ETF,Equity,48282600,5005,80.56,False,False,True,False,-2.32%,-7.26%,-18.42%,-6.25%,2.05%,15.20%,0.0,-2.54051,-8.40252,-3.15565,5.60993,24.06759,Consumer Discretionary Equities,2006-10-12,0.60%,0.00,2024-03-18,0.12,0.00%,Quarterly,7.38%,12.92,1.29,230.08%,51.39%,42.88%,33.48%,Invesco,37,38.25%,54.12%,100.01%,40%,20%,1099,75.97,91.76,79.66,81.01,40.36,B-,B,B,B+,B-,C+,B,5.78,38.98%,31.73%,76.36,5.88%,2.88%,Equity
